condition
no stress
time pressure
no stress
no stress
interruption
time pressure
interruption
no stress
interruption
no stress
no stress
interruption
no stress
no stress
no stress
no stress
interruption
interruption
interruption
interruption
no stress
no stress
no stress
interruption
no stress
time pressure
no stress
interruption
no stress
interruption
no stress
no stress
no stress
no stress
interruption
time pressure
time pressure
no stress
no stress
no stress
no stress
no stress
no stress
no stress
no stress
no stress
no stress
interruption
time pressure
interruption
time pressure
no stress
interruption
interruption
interruption
no stress
no stress
no stress
no stress
no stress
interruption
no stress
no stress
no stress
no stress
no stress
no stress
no stress
time pressure
time pressure
no stress
interruption
no stress
no stress
no stress
no stress
no stress
no stress
no stress
interruption
interruption
no stress
no stress
time pressure
interruption
no stress
interruption
time pressure
interruption
interruption
interruption
no stress
no stress
interruption
no stress
interruption
no stress
no stress
interruption
no stress
interruption
interruption
interruption
no stress
interruption
interruption
no stress
no stress
no stress
time pressure
no stress
interruption
interruption
no stress
interruption
no stress
interruption
interruption
interruption
time pressure
no stress
interruption
no stress
no stress
interruption
interruption
interruption
time pressure
time pressure
no stress
interruption
time pressure
interruption
time pressure
no stress
no stress
no stress
time pressure
no stress
interruption
no stress
time pressure
no stress
interruption
no stress
no stress
interruption
interruption
interruption
no stress
no stress
no stress
interruption
no stress
interruption
time pressure
no stress
interruption
no stress
no stress
interruption
interruption
no stress
time pressure
no stress
no stress
interruption
time pressure
no stress
no stress
no stress
time pressure
time pressure
no stress
interruption
interruption
interruption
no stress
no stress
interruption
no stress
no stress
interruption
no stress
no stress
no stress
no stress
time pressure
no stress
no stress
no stress
interruption
interruption
no stress
no stress
interruption
no stress
interruption
time pressure
no stress
time pressure
no stress
no stress
interruption
no stress
interruption
no stress
interruption
no stress
no stress
time pressure
no stress
no stress
interruption
no stress
no stress
no stress
time pressure
interruption
interruption
no stress
time pressure
time pressure
no stress
no stress
no stress
time pressure
interruption
no stress
time pressure
no stress
no stress
time pressure
interruption
no stress
no stress
interruption
no stress
no stress
no stress
no stress
no stress
no stress
no stress
no stress
interruption
no stress
no stress
no stress
no stress
no stress
interruption
interruption
time pressure
no stress
no stress
no stress
no stress
interruption
no stress
no stress
interruption
no stress
interruption
interruption
no stress
interruption
no stress
no stress
no stress
time pressure
no stress
no stress
no stress
no stress
no stress
no stress
time pressure
no stress
no stress
no stress
no stress
no stress
interruption
no stress
interruption
no stress
interruption
interruption
no stress
interruption
time pressure
no stress
no stress
interruption
no stress
interruption
interruption
interruption
no stress
no stress
no stress
no stress
no stress
time pressure
time pressure
no stress
time pressure
interruption
no stress
no stress
time pressure
no stress
no stress
no stress
interruption
interruption
interruption
no stress
no stress
time pressure
no stress
interruption
no stress
interruption
interruption
interruption
interruption
time pressure
interruption
interruption
time pressure
interruption
interruption
no stress
time pressure
no stress
no stress
interruption
no stress
no stress
no stress
interruption
time pressure
interruption
time pressure
time pressure
interruption
no stress
time pressure
time pressure
interruption
no stress
no stress
no stress
no stress
no stress
no stress
interruption
interruption
no stress
time pressure
no stress
no stress
no stress
no stress
no stress
no stress
interruption
no stress
interruption
time pressure
no stress
no stress
no stress
no stress
interruption
no stress
interruption
no stress
no stress
no stress
no stress
no stress
interruption
interruption
time pressure
no stress
interruption
interruption
interruption
time pressure
no stress
no stress
no stress
time pressure
no stress
interruption
interruption
no stress
time pressure
no stress
interruption
time pressure
no stress
no stress
no stress
time pressure
no stress
no stress
interruption
no stress
no stress
no stress
time pressure
interruption
interruption
time pressure
interruption
no stress
no stress
time pressure
time pressure
no stress
no stress
time pressure
no stress
no stress
no stress
interruption
no stress
no stress
interruption
interruption
no stress
time pressure
interruption
interruption
no stress
time pressure
interruption
no stress
no stress
no stress
interruption
interruption
time pressure
time pressure
interruption
time pressure
interruption
time pressure
no stress
no stress
time pressure
interruption
no stress
no stress
interruption
time pressure
interruption
interruption
time pressure
no stress
time pressure
no stress
interruption
no stress
no stress
no stress
interruption
interruption
interruption
time pressure
no stress
interruption
no stress
no stress
interruption
interruption
interruption
interruption
interruption
no stress
time pressure
no stress
no stress
interruption
interruption
interruption
no stress
time pressure
time pressure
no stress
no stress
no stress
time pressure
no stress
no stress
time pressure
no stress
no stress
time pressure
interruption
interruption
no stress
interruption
interruption
